"STATION","NAME","DATE","DX70","DX90","TMAX","TMIN"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06","25","2","79.2","56.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07","31","22","93.0","63.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08","31","28","98.2","66.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09","30","6","83.9","60.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10","28","1","78.7","52.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-11","16","0","70.6","45.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-12","11","0","65.9","40.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-01","12","0","67.6","42.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-02","10","0","66.1","42.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-03","6","0","64.8","43.8"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-04","9","4","68.0","45.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-05","26","0","75.6","52.6"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-06","27","9","83.5","55.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-07","31","18","90.7","62.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-08","31","22","92.7","61.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-09","29","12","86.8","58.7"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-10","31","14","88.5","55.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-11","21","1","74.9","48.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1999-12","16","0","70.4","43.6"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-01","10","0","67.3","45.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-02","7","0","63.7","45.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-03","16","0","69.9","46.8"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-04","23","1","76.8","51.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-05","29","6","82.3","56.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-06","30","17","88.7","59.7"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-07","31","17","90.8","61.6"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-08","30","25","92.9","65.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-09","30","15","88.5","61.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-10","20","0","73.9","54.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-11","14","0","69.0","43.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2000-12","20","0","70.5","43.8"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-01","6","0","61.6","41.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-02","4","0","60.4","43.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-03","12","0","68.5","49.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-04","14","2","69.4","48.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-05","28","7","82.5","56.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-06","28","16","87.9","59.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-07","31","13","89.4","61.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-08","31","23","93.2","63.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-09","30","17","90.6","60.8"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-10","30","8","82.4","56.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-11","19","0","71.0","49.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2001-12","4","0","62.5","40.7"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-01","8","0","65.7","40.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-02","19","0","73.1","43.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-03","14","0","69.8","44.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-04","15","1","72.0","49.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-05","26","4","77.9","53.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-06","30","9","86.0","58.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-07","31","18","91.7","62.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-08","31","15","90.2","61.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-09","28","19","91.5","62.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-10","16","3","74.5","54.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-11","22","0","75.8","51.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2002-12","7","0","63.7","43.5"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2003-01","22","1","74.6","47.6"
