"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-25","63","67","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-26","59","66","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-27","60","73","46"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-28","63","76","50"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-29","63","71","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-30","64","78","49"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-05-31","66","79","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-01","67","82","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-02","65","78","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-03","64","72","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-04","64","72","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-05","66","80","51"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-06","64","73","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-07","57","64","50"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-08","63","69","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-09","65","73","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-10","62","69","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-11","63","70","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-12","62","68","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-13","65","78","51"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-14","69","86","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-15","70","83","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-16","62","65","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-17","72","84","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-18","72","87","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-19","72","86","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-20","70","81","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-21","70","85","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-22","69","83","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-23","69","81","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-24","70","82","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-25","71","84","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-26","71","84","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-27","74","88","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-28","75","90","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-29","77","92","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-06-30","75","88","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-01","75","89","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-02","72","83","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-03","70","80","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-04","72","84","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-05","74","88","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-06","79","97","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-07","80","93","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-08","79","92","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-09","79","92","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-10","78","94","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-11","78","95","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-12","78","96","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-13","76","93","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-14","77","94","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-15","80","98","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-16","87","106","67"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-17","86","102","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-18","84","99","68"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-19","79","91","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-20","79","91","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-21","79","92","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-22","76","86","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-23","76","87","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-24","76","88","63"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-25","79","96","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-26","84","103","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-27","86","102","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-28","86","102","70"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-29","79","92","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-30","75","88","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-07-31","75","90","59"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-01","79","97","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-02","83","103","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-03","86","105","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-04","87","104","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-05","81","97","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-06","79","94","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-07","80","96","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-08","84","103","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-09","84","101","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-10","84","93","74"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-11","85","98","71"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-12","86","101","70"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-13","86","100","71"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-14","85","102","68"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-15","79","92","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-16","78","91","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-17","75","85","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-18","75","88","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-19","75","89","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-20","77","93","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-21","82","100","63"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-22","84","104","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-23","87","105","68"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-24","81","96","66"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-25","79","93","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-26","79","93","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-27","81","98","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-28","85","102","67"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-29","90","108","72"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-30","93","109","76"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-08-31","90","105","74"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-01","87","105","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-02","87","103","71"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-03","87","101","73"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-04","77","82","71"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-05","76","82","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-06","79","89","68"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-07","78","91","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-08","77","89","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-09","75","85","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-10","75","87","63"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-11","74","87","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-12","73","89","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-13","74","89","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-14","73","88","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-15","74","88","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-16","75","90","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-17","74","90","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-18","73","88","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-19","70","83","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-20","69","75","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-21","67","71","62"
